transaction_id,customer_id,merchant_id,amount,currency,timestamp,country,channel,status,ip,device
T000001,C0115,M005,183.37,XOF,2025-09-15T20:25:39Z,CI,web,approved,102.134.22.9,android
T000002,C0112,M008,130.04,XOF,2025-09-15T15:17:26Z,CI,web,approved,102.134.22.180,linux
T000003,C0415,M001,139.71,XOF,2025-09-19T14:11:38Z,CI,mobile,approved,102.134.22.40,ios
T000004,C0053,M003,224.89,XOF,2025-09-18T14:02:24Z,CI,web,approved,102.134.22.89,linux
T000005,C0275,M004,165.46,XOF,2025-09-17T17:02:50Z,CI,web,approved,102.134.22.213,linux
T000006,C0296,M007,1,XOF,2025-09-18T21:20:01Z,CI,web,approved,102.134.22.198,windows
T000007,C0195,M009,218.65,XOF,2025-09-15T11:14:27Z,CI,mobile,approved,102.134.22.91,ios
T000008,C0360,M003,1,XOF,2025-09-17T17:45:46Z,CI,web,approved,102.134.22.98,windows
T000009,C0394,M002,133.44,XOF,2025-09-21T06:13:24Z,CI,web,approved,102.134.22.103,windows
T000010,C0109,M019,189.55,XOF,2025-09-15T07:16:43Z,CI,web,approved,102.134.22.102,mac
T000011,C0288,M018,114.38,XOF,2025-09-16T05:36:51Z,CI,mobile,declined,102.134.22.103,windows
T000012,C0071,M017,179.94,XOF,2025-09-17T03:52:54Z,CI,web,approved,102.134.22.221,android
T000013,C0217,M020,21.29,XOF,2025-09-16T08:31:05Z,CI,mobile,approved,102.134.22.120,linux
T000014,C0498,M018,18.21,XOF,2025-09-17T13:13:46Z,CI,web,approved,102.134.22.138,windows
T000015,C0233,M001,185.31,XOF,2025-09-18T15:04:59Z,CI,web,approved,102.134.22.28,windows
T000016,C0312,M007,175.11,XOF,2025-09-20T15:52:03Z,CI,mobile,approved,102.134.22.139,linux
T000017,C0058,M012,44.69,XOF,2025-09-14T12:09:59Z,CI,web,approved,102.134.22.225,linux
T000018,C0044,M016,66.04,XOF,2025-09-15T10:56:22Z,CI,web,approved,102.134.22.122,linux
T000019,C0217,M007,104.66,XOF,2025-09-16T12:05:48Z,CI,mobile,approved,102.134.22.172,windows
T000020,C0461,M017,281.62,XOF,2025-09-19T19:36:21Z,CI,web,approved,102.134.22.17,windows
T000021,C0113,M001,70.82,XOF,2025-09-14T18:07:36Z,CI,web,approved,102.134.22.232,android
T000022,C0037,M017,89.52,XOF,2025-09-18T12:14:39Z,CI,mobile,approved,102.134.22.55,linux
T000023,C0296,M016,92.42,XOF,2025-09-16T02:32:19Z,CI,mobile,approved,102.134.22.49,android
T000024,C0338,M014,1,XOF,2025-09-15T16:13:59Z,CI,mobile,approved,102.134.22.222,android
T000025,C0410,M004,239.88,XOF,2025-09-15T16:39:58Z,CI,web,approved,102.134.22.115,ios
T000026,C0094,M009,168.0,XOF,2025-09-19T14:52:54Z,CI,web,declined,102.134.22.20,mac
T000027,C0277,M001,214.95,XOF,2025-09-21T04:17:37Z,CI,web,approved,102.134.22.125,mac
T000028,C0443,M013,187.09,XOF,2025-09-17T02:15:30Z,CI,web,approved,102.134.22.253,mac
T000029,C0147,M014,245.61,XOF,2025-09-17T17:14:45Z,CI,web,approved,102.134.22.56,android
T000030,C0032,M011,57.5,XOF,2025-09-21T01:55:32Z,CI,web,approved,102.134.22.129,linux
T000031,C0436,M006,209.24,XOF,2025-09-16T09:51:20Z,CI,web,approved,102.134.22.61,mac
T000032,C0483,M019,153.32,XOF,2025-09-15T22:55:10Z,CI,web,approved,102.134.22.108,linux
T000033,C0105,M011,1,XOF,2025-09-21T08:38:03Z,CI,mobile,approved,102.134.22.172,windows
T000034,C0162,M003,93.34,XOF,2025-09-20T01:10:34Z,CI,mobile,approved,102.134.22.145,android
T000035,C0068,M012,27.65,XOF,2025-09-15T09:20:19Z,CI,web,approved,102.134.22.41,mac
T000036,C0361,M010,97.75,XOF,2025-09-21T02:13:25Z,CI,mobile,declined,102.134.22.27,ios
T000037,C0284,M005,148.49,XOF,2025-09-17T17:01:52Z,CI,mobile,approved,102.134.22.184,windows
T000038,C0352,M009,145.25,XOF,2025-09-16T23:18:07Z,CI,mobile,declined,102.134.22.217,android
T000039,C0023,M001,20.01,XOF,2025-09-15T14:53:01Z,CI,web,approved,102.134.22.68,ios
T000040,C0283,M014,7.6,XOF,2025-09-19T20:41:38Z,CI,web,approved,102.134.22.227,ios
T000041,C0283,M005,194.84,XOF,2025-09-21T02:54:52Z,CI,web,approved,102.134.22.94,android
T000042,C0108,M008,137.24,XOF,2025-09-18T20:13:10Z,CI,mobile,approved,102.134.22.227,mac
T000043,C0084,M006,172.52,XOF,2025-09-16T09:01:00Z,CI,web,approved,102.134.22.237,windows
T000044,C0411,M008,93.56,XOF,2025-09-19T11:55:12Z,CI,web,approved,102.134.22.28,mac
T000045,C0419,M015,155.78,XOF,2025-09-14T23:16:45Z,CI,mobile,approved,102.134.22.224,ios
T000046,C0013,M007,75.96,XOF,2025-09-17T04:55:52Z,CI,mobile,approved,102.134.22.18,windows
T000047,C0432,M018,69.07,XOF,2025-09-18T18:16:43Z,CI,web,approved,102.134.22.249,windows
T000048,C0298,M009,57.25,XOF,2025-09-16T16:00:41Z,CI,web,approved,102.134.22.89,windows
T000049,C0198,M019,44.79,XOF,2025-09-19T19:06:32Z,CI,mobile,approved,102.134.22.112,android
T000050,C0474,M018,60.74,XOF,2025-09-20T19:26:15Z,CI,mobile,approved,102.134.22.243,windows
T000051,C0461,M010,98.63,XOF,2025-09-18T07:26:04Z,CI,mobile,approved,102.134.22.179,windows
T000052,C0066,M007,84.69,XOF,2025-09-21T05:29:03Z,CI,mobile,approved,102.134.22.232,ios
T000053,C0001,M010,88.28,XOF,2025-09-21T09:45:50Z,CI,web,approved,102.134.22.149,linux
T000054,C0239,M015,215.69,XOF,2025-09-18T09:51:42Z,CI,web,approved,102.134.22.204,ios
T000055,C0318,M011,95.11,XOF,2025-09-15T12:41:54Z,CI,web,approved,102.134.22.58,ios
T000056,C0013,M002,235.48,XOF,2025-09-16T06:55:11Z,CI,mobile,approved,102.134.22.197,android
T000057,C0100,M013,23.13,XOF,2025-09-20T00:38:58Z,CI,mobile,approved,102.134.22.168,android
T000058,C0399,M014,177.75,XOF,2025-09-15T19:02:44Z,CI,web,approved,102.134.22.179,linux
T000059,C0435,M004,177.58,XOF,2025-09-20T03:18:35Z,CI,web,approved,102.134.22.171,linux
T000060,C0305,M011,138.8,XOF,2025-09-21T06:47:55Z,CI,mobile,approved,102.134.22.141,mac
T000061,C0133,M008,116.38,XOF,2025-09-16T10:21:29Z,CI,mobile,approved,102.134.22.71,mac
T000062,C0366,M010,29.3,XOF,2025-09-15T10:34:07Z,CI,mobile,approved,102.134.22.229,linux
T000063,C0356,M005,157.44,XOF,2025-09-15T11:28:11Z,CI,web,approved,102.134.22.85,linux
T000064,C0213,M002,164.33,XOF,2025-09-20T03:42:37Z,CI,mobile,approved,102.134.22.198,linux
T000065,C0195,M016,204.69,XOF,2025-09-14T17:41:20Z,CI,mobile,approved,102.134.22.100,mac
T000066,C0383,M018,13.24,XOF,2025-09-21T00:46:05Z,CI,mobile,approved,102.134.22.112,mac
T000067,C0409,M013,28.9,XOF,2025-09-14T20:27:14Z,CI,mobile,declined,102.134.22.252,linux
T000068,C0014,M013,196.47,XOF,2025-09-20T23:34:29Z,CI,web,approved,102.134.22.35,mac
T000069,C0109,M015,194.24,XOF,2025-09-16T16:55:56Z,CI,mobile,approved,102.134.22.98,windows
T000070,C0130,M003,144.27,XOF,2025-09-19T14:47:22Z,CI,web,approved,102.134.22.14,windows
T000071,C0334,M002,38.12,XOF,2025-09-17T05:18:33Z,CI,web,approved,102.134.22.6,linux
T000072,C0123,M005,7.09,XOF,2025-09-16T08:23:04Z,CI,web,approved,102.134.22.56,mac
T000073,C0311,M004,125.14,XOF,2025-09-17T14:38:10Z,CI,mobile,approved,102.134.22.7,windows
T000074,C0347,M013,71.79,XOF,2025-09-21T11:42:46Z,CI,web,approved,102.134.22.177,ios
T000075,C0351,M020,97.92,XOF,2025-09-15T17:40:51Z,CI,web,approved,102.134.22.110,windows
T000076,C0260,M011,55.91,XOF,2025-09-15T08:05:06Z,CI,mobile,approved,102.134.22.28,mac
T000077,C0363,M005,21.03,XOF,2025-09-18T21:29:41Z,CI,web,approved,102.134.22.248,windows
T000078,C0397,M016,6.91,XOF,2025-09-21T00:45:15Z,CI,mobile,approved,102.134.22.152,windows
T000079,C0045,M009,209.94,XOF,2025-09-18T09:52:40Z,CI,web,approved,102.134.22.146,linux
T000080,C0173,M001,1,XOF,2025-09-19T02:23:19Z,CI,mobile,approved,102.134.22.55,windows
T000081,C0360,M009,31.38,XOF,2025-09-17T15:15:02Z,CI,web,approved,102.134.22.185,mac
T000082,C0285,M008,258.99,XOF,2025-09-20T10:18:31Z,CI,mobile,approved,102.134.22.5,android
T000083,C0157,M019,141.79,XOF,2025-09-18T01:42:08Z,CI,mobile,approved,102.134.22.89,mac
T000084,C0170,M012,240.79,XOF,2025-09-21T04:18:44Z,CI,mobile,approved,102.134.22.60,android
T000085,C0487,M006,67.22,XOF,2025-09-16T20:05:39Z,CI,web,approved,102.134.22.71,linux
T000086,C0306,M010,240.83,XOF,2025-09-20T20:48:41Z,CI,web,approved,102.134.22.93,ios
T000087,C0141,M002,218.49,XOF,2025-09-18T04:02:30Z,CI,mobile,approved,102.134.22.33,mac
T000088,C0447,M001,128.78,XOF,2025-09-15T17:52:50Z,CI,mobile,approved,102.134.22.88,ios
T000089,C0059,M003,117.52,XOF,2025-09-15T02:57:52Z,CI,mobile,approved,102.134.22.162,android
T000090,C0077,M019,279.12,XOF,2025-09-16T08:11:37Z,CI,web,declined,102.134.22.31,linux
T000091,C0116,M017,8.92,XOF,2025-09-19T13:13:10Z,CI,mobile,declined,102.134.22.77,linux
T000092,C0157,M019,32.35,XOF,2025-09-19T16:54:20Z,CI,web,declined,102.134.22.54,ios
T000093,C0089,M018,95.05,XOF,2025-09-17T17:05:01Z,CI,web,approved,102.134.22.116,linux
T000094,C0150,M002,80.45,XOF,2025-09-20T04:52:18Z,CI,mobile,approved,102.134.22.180,mac
T000095,C0404,M019,50.39,XOF,2025-09-15T08:43:57Z,CI,mobile,approved,102.134.22.58,ios
T000096,C0424,M005,1,XOF,2025-09-17T17:22:15Z,CI,web,approved,102.134.22.79,linux
T000097,C0240,M010,195.7,XOF,2025-09-21T09:47:36Z,CI,mobile,approved,102.134.22.127,mac
T000098,C0307,M002,79.12,XOF,2025-09-15T11:25:49Z,CI,mobile,approved,102.134.22.7,android
T000099,C0295,M019,267.78,XOF,2025-09-17T06:40:44Z,CI,mobile,approved,102.134.22.196,ios
T000100,C0266,M015,83.94,XOF,2025-09-20T05:02:35Z,CI,web,declined,102.134.22.112,mac
T000101,C0165,M004,39.49,XOF,2025-09-15T14:34:34Z,CI,mobile,approved,102.134.22.127,windows
T000102,C0417,M018,135.35,XOF,2025-09-19T08:38:24Z,CI,mobile,approved,102.134.22.65,windows
T000103,C0264,M001,199.99,XOF,2025-09-15T21:45:52Z,CI,mobile,approved,102.134.22.133,windows
T000104,C0321,M015,104.84,XOF,2025-09-20T13:11:47Z,CI,web,approved,102.134.22.34,windows
T000105,C0015,M020,187.49,XOF,2025-09-19T19:36:38Z,CI,web,approved,102.134.22.4,linux
